"","Phytochemical","PlantName","PubMed.Id"
"3640","b-Bisabolol","Plinia cerrocampanensis",20015638
"3641","b-Eudesmol","Plinia cerrocampanensis",20015638
"3642","Calamenene","Plinia cerrocampanensis",20015638
"3643","cis-Linalool oxide","Plinia cerrocampanensis",20015638
"3644","cis-Ocimene","Plinia cerrocampanensis",20015638
"3645","Cubenol","Plinia cerrocampanensis",20015638
"3646","d-Cadinene","Plinia cerrocampanensis",20015638
"3647","E,E-Farnesol","Plinia cerrocampanensis",20015638
"3648","Estragole","Plinia cerrocampanensis",20015638
"3649","Geraniol","Plinia cerrocampanensis",20015638
"3650","Limonene","Plinia cerrocampanensis",20015638
"3651","Linalool","Plinia cerrocampanensis",20015638
"3652","Nerol","Plinia cerrocampanensis",20015638
"3653","p-Cymene","Plinia cerrocampanensis",20015638
"3654","Terpinen-4-ol","Plinia cerrocampanensis",20015638
"3655","trans-Linalool oxide","Plinia cerrocampanensis",20015638
"3656","trans-Nerolidol","Plinia cerrocampanensis",20015638
"3657","?-Terpinene","Plinia cerrocampanensis",20015638
"3658","alkaloids","Pluchea indica",22536985
"3659","2, 5-dimethyl-7-hydroxychromone","Plumbago zeylanica",17727061
"3660","4-hydroxybenzaldehyde","Plumbago zeylanica",17727061
"3661","Alkaloids","Plumbago zeylanica",11167029
"3662","beta-sitosterol","Plumbago zeylanica",17727061
"3663","indole-3-carboxaldehyde","Plumbago zeylanica",17727061
"3664","isoshinanolone","Plumbago zeylanica",17727061
"3665","plumbagic acid","Plumbago zeylanica",17727061
"3666","plumbagin","Plumbago zeylanica",17727061
"3667","plumbagine A","Plumbago zeylanica",23848163
"3668","plumbagine B","Plumbago zeylanica",23848163
"3669","plumbagine C","Plumbago zeylanica",23848163
"3670","plumbagine D","Plumbago zeylanica",23848163
"3671","plumbagine E","Plumbago zeylanica",23848163
"3672","plumbagine F","Plumbago zeylanica",23848163
"3673","plumbagine G","Plumbago zeylanica",23848163
"3674","plumbagoside A","Plumbago zeylanica",23848163
"3675","plumbagoside B","Plumbago zeylanica",23848163
"3676","plumbagoside C","Plumbago zeylanica",23848163
"3677","plumbagoside D","Plumbago zeylanica",23848163
"3678","trans-cinnamic acid","Plumbago zeylanica",17727061
"3679","vanillic acid","Plumbago zeylanica",17727061
"3682","(-)-alpha-cadinol","Polyalthia cerasoides",17845001
"3683","alpha-humulene","Polyalthia cerasoides",17845001
"3684","bidebiline E","Polyalthia cerasoides",17845001
"3685","caryophyllene oxide","Polyalthia cerasoides",17845001
"3686","codamine","Polyalthia cerasoides",17845001
"3687","laudanidine","Polyalthia cerasoides",17845001
"3688","laudanosine","Polyalthia cerasoides",17845001
"3689","octadeca-9,11,13-triynoic acid","Polyalthia cerasoides",17845001
"3690","reticuline","Polyalthia cerasoides",17845001
"3847","1-O-(1, 2-propanediol)-6-O-galloyl-beta-D-glucopyranoside","Psidium guajava",21348423
"3848","1-O-galloyl-beta-D-glucose","Psidium guajava",19526787
"3849","2,6-dihydroxy-3,5-dimethyl-4-O-(6?-O-galloyl-?-D-glucopyranosyl)-benzophenone","Psidium guajava",22085357
"3850","2,6-dihydroxy-3-formaldehyde-5-methyl-4-O-(6?-O-galloyl-?-D-glucopyranosyl)-diphenylmethane","Psidium guajava",22085357
"3851","2alpha-hydroxyoleanolic acid","Psidium guajava",19526787
"3852","2alpha-hydroxyursolic acid","Psidium guajava",19526787
"3853","alkaloids","Psidium guajava",21687350
"3854","alkaloids","Psidium guajava",22536985
"3855","asiatic acid","Psidium guajava",12377233
"3856","avicularin","Psidium guajava",22085357
"3857","beta-sitosterol","Psidium guajava",17616904
"3858","ellagic acid","Psidium guajava",21348423
"3859","ellagic acid-4-O-beta-D-glucopyranoside","Psidium guajava",21348423
"3860","gallic acid","Psidium guajava",21348423
"3861","goreishic acid I","Psidium guajava",12049217
"3862","guaijaverin","Psidium guajava",16882158
"3863","guaijaverin","Psidium guajava",22085357
"3864","Guajadial","Psidium guajava",17985919
"3865","guajadial","Psidium guajava",20929258
"3866","guajanoic acid","Psidium guajava",14984086
"3867","guajavolide","Psidium guajava",12494352
"3868","guavacoumaric acid","Psidium guajava",12377233
"3869","guavanoic acid","Psidium guajava",12377233
"3870","guavenoic acid","Psidium guajava",12494352
"3871","guavinoside A","Psidium guajava",20354804
"3872","guavinoside B","Psidium guajava",20354804
"3873","guavinoside C","Psidium guajava",20354804
"3874","hyperin","Psidium guajava",19526787
"3875","hyperoside","Psidium guajava",22085357
"3876","ilelatifol D","Psidium guajava",12377233
"3877","isoneriucoumaric acid","Psidium guajava",12377233
"3878","isoquercitrin","Psidium guajava",22085357
"3879","jacoumaric acid","Psidium guajava",12377233
"3880","kaempferol","Psidium guajava",22085357
"3881","morin-3-O-alpha-L-arabopyranoside","Psidium guajava",19526787
"3882","myricetin-3-O-beta-D-glucoside","Psidium guajava",19526787
"3883","obtusinin","Psidium guajava",12049217
"3884","obtusol","Psidium guajava",17616904
"3885","oleanolic acid","Psidium guajava",17616904
"3886","psidial A","Psidium guajava",20078113
"3887","psidial B","Psidium guajava",20078113
"3888","psidial C","Psidium guajava",20078113
"3889","psidiumoic acid","Psidium guajava",17616904
"3890","Psiguadial A","Psidium guajava",20929258
"3891","Psiguadial B","Psidium guajava",20929258
"3892","psiguanin A","Psidium guajava",22375873
"3893","psiguanin B","Psidium guajava",22375873
"3894","psiguanin C","Psidium guajava",22375873
"3895","psiguanin D","Psidium guajava",22375873
"3896","quercetin","Psidium guajava",22085357
"3897","quercetin-3-O-(6""-galloyl) beta-D-galactopyranoside","Psidium guajava",21348423
"3898","quercetin-3-O-beta-D-glucuronopyranoside","Psidium guajava",19526787
"3899","quercitrin","Psidium guajava",22085357
"3900","reynoutrin","Psidium guajava",22085357
"3901","ursolic acid","Psidium guajava",19526787
"3902","ursolic acid","Psidium guajava",17616904
"3962","alkaloids","Punica granatum",22536985
"3963","Alkaloids","Punica granatum",11167029
"3973","alkaloids","Quercus infectoria",22536985
"3974","hydrolysable tannins","Quercus infectoria",22536985
"4069","1,2,3,4,6-penta-O-galloyl-beta-D-glucoside","Rosa nutkana",18066132
"4070","1,6-digalloyl-beta-D-glucoside","Rosa nutkana",18066132
"4071","catechin gallate","Rosa nutkana",18066132
"4072","euscaphic acid","Rosa nutkana",18066132
"4073","L-ascorbic acid","Rosa nutkana",18066132
"4074","maslinic acid","Rosa nutkana",18066132
"4075","quercetin","Rosa nutkana",18066132
"4076","quercetin-3-O-glucoside","Rosa nutkana",18066132
"4077","tormentic acid","Rosa nutkana",18066132
"4078","ursolic acid","Rosa nutkana",18066132
"4182","16?-hydroxybryodulcosigenin","Saniculiphyllum guangxiense",22899611
"4183","3?-O-feruloylolean-12-en-27-oic acid","Saniculiphyllum guangxiense",22899611
"4184","3?-hydroxyolean-12-en-27-oic acid","Saniculiphyllum guangxiense",22899611
"4185","daucosterol","Saniculiphyllum guangxiense",22899611
"4186","menisdaurin","Saniculiphyllum guangxiense",22899611
"4187","oleanolic acid","Saniculiphyllum guangxiense",22899611
"4188","purshianin","Saniculiphyllum guangxiense",22899611
"4189","?-sitosterol","Saniculiphyllum guangxiense",22899611
"4190","(E)-Caryophyllene","Santolina chamaecyparissus",22908587
"4191","(E)-Nerolidol","Santolina chamaecyparissus",22908587
"4192","Allo-aromadendrene","Santolina chamaecyparissus",22908587
"4193","Camphor","Santolina chamaecyparissus",22908587
"4194","Caryophyllene oxide","Santolina chamaecyparissus",22908587
"4195","cubenol","Santolina chamaecyparissus",22908587
"4196","Curcumene","Santolina chamaecyparissus",22908587
"4197","Dodecanoic acid","Santolina chamaecyparissus",22908587
"4198","Germacrene D","Santolina chamaecyparissus",22908587
"4199","-Ionone","Santolina chamaecyparissus",22908587
"4200","?-Bisabolene","Santolina chamaecyparissus",22908587
"4201","?-Copaene","Santolina chamaecyparissus",22908587
"4202","(E)-3-(6-[(E)-3-hydroxy-3-oxo-1-propenyl]-9-oxo-9H-xanthen-2-yl)-2-propenoic acid","Santolina insularis",15787246
"4203","cirsimaritin","Santolina insularis",15787246
"4204","hispidulin","Santolina insularis",15787246
"4205","luteolin","Santolina insularis",15787246
"4206","luteolin 7-O-beta-D-glucopyranoside","Santolina insularis",15787246
"4207","nepetin","Santolina insularis",15787246
"4208","rhamnocitrin","Santolina insularis",15787246
"4235","beta-sitosterol","Schisandra chinensis",19873730
"4236","daucosterol","Schisandra chinensis",19873730
"4237","gamma-schizandrin","Schisandra chinensis",19873730
"4238","ganwuweizic acid","Schisandra chinensis",19873730
"4239","gomisin A","Schisandra chinensis",19873730
"4240","schinchinenin A","Schisandra chinensis",23318468
"4241","schinchinenin B","Schisandra chinensis",23318468
"4242","schinchinenin C","Schisandra chinensis",23318468
"4243","schinchinenin D","Schisandra chinensis",23318468
"4244","schinchinenin E","Schisandra chinensis",23318468
"4245","schinchinenin F","Schisandra chinensis",23318468
"4246","schinchinenin G","Schisandra chinensis",23318468
"4247","schinchinenin H","Schisandra chinensis",23318468
"4248","schinchinenlactone A","Schisandra chinensis",23318468
"4249","schinchinenlactone B","Schisandra chinensis",23318468
"4250","schinchinenlactone C","Schisandra chinensis",23318468
"4251","schizandrin","Schisandra chinensis",19873730
"4252","wuweizisu A","Schisandra chinensis",19873730
"4253","wuweizisu C","Schisandra chinensis",19873730
"4254","(-)-15-hydroxycalamenene","Schisandra glaucescens",23373215
"4255","(-)-cubebol","Schisandra glaucescens",23373215
"4256","(+)-ent-epicubenol","Schisandra glaucescens",23373215
"4257","4-epi-cubebol","Schisandra glaucescens",23373215
"4258","alpha-cadinol","Schisandra glaucescens",23373215
"4259","caryolane-1,9/3-diol","Schisandra glaucescens",23373215
"4260","caryophyllenol-I","Schisandra glaucescens",23373215
"4261","caryophyllenol-II","Schisandra glaucescens",23373215
"4262","ent-T-muurolol","Schisandra glaucescens",23373215
"4263","oxyphyllenodiols A","Schisandra glaucescens",23373215
"4264","t-cadinol","Schisandra glaucescens",23373215
"4265","torreyol","Schisandra glaucescens",23373215
"4312","marlignan A","Schisandra wilsoniana",20462233
"4313","marlignan B","Schisandra wilsoniana",20462233
"4314","marlignan C","Schisandra wilsoniana",20462233
"4315","marlignan D","Schisandra wilsoniana",20462233
"4316","marlignan E","Schisandra wilsoniana",20462233
"4317","marlignan F","Schisandra wilsoniana",20462233
"4318","marlignan G","Schisandra wilsoniana",20462233
"4319","marlignan H","Schisandra wilsoniana",20462233
"4320","marlignan I","Schisandra wilsoniana",20462233
"4321","marlignan J","Schisandra wilsoniana",20462233
"4322","marlignan K","Schisandra wilsoniana",20462233
"4323","marlignan L","Schisandra wilsoniana",20462233
"4324","marlignan M","Schisandra wilsoniana",23327759
"4325","marlignan N","Schisandra wilsoniana",23327759
"4326","marlignan O","Schisandra wilsoniana",23327759
"4327","marlignan P","Schisandra wilsoniana",23327759
"4328","marlignan Q","Schisandra wilsoniana",23327759
"4329","marlignan R","Schisandra wilsoniana",23327759
"4330","marlignan S","Schisandra wilsoniana",23327759
"4331","marphenol C","Schisandra wilsoniana",23327759
"4332","marphenol D","Schisandra wilsoniana",23327759
"4333","marphenol E","Schisandra wilsoniana",23327759
"4334","marphenol F","Schisandra wilsoniana",23327759
"4386","1,8-cineole","Sesuvium portulacastrum",16243465
"4387","alpha-humulene","Sesuvium portulacastrum",16243465
"4388","alpha-pinene","Sesuvium portulacastrum",16243465
"4389","alpha-terpinene","Sesuvium portulacastrum",16243465
"4390","beta-pinene","Sesuvium portulacastrum",16243465
"4391","bornyl acetate","Sesuvium portulacastrum",16243465
"4392","camphene","Sesuvium portulacastrum",16243465
"4393","limonene","Sesuvium portulacastrum",16243465
"4394","O-cymene","Sesuvium portulacastrum",16243465
"4395","trans-caryophyllene","Sesuvium portulacastrum",16243465
"4396","tridecane","Sesuvium portulacastrum",16243465
"4397","alpha-cadinol","Shorea robusta",12931858
"4398","alpha-copaene","Shorea robusta",12931858
"4399","alpha-terpineol","Shorea robusta",12931858
"4400","Asiatic acid","Shorea robusta",23290431
"4401","beta-elemene","Shorea robusta",12931858
"4402","gamma-cadinene","Shorea robusta",12931858
"4403","gamma-muurolene","Shorea robusta",12931858
"4404","Germacrene-D","Shorea robusta",11745034
"4405","globulol","Shorea robusta",12931858
"4406","T-cadinol","Shorea robusta",12931858
"4407","viridiflorene","Shorea robusta",12931858
"4423","phenethyl isothiocyanate","Sinapis alba",19799675
"4429","(+)-medioresinol","Solanum nigrum",20845784
"4430","(+)-pinoresinol","Solanum nigrum",20845784
"4431","(+)-syringaresinol","Solanum nigrum",20845784
"4432","3, 4-dihydroxhbenzoic acid","Solanum nigrum",17944186
"4433","3-methoxy-4-hydroxyienzoic acid","Solanum nigrum",17944186
"4434","6-methoy-hydroxycoumarin","Solanum nigrum",17944186
"4435","adenosine","Solanum nigrum",17944186
"4436","beta-sitosterol","Solanum nigrum",20845784
"4437","ethyl beta-d-thevetopyranosyl-(1-->4)-alpha-D-oleandropyranoside","Solanum nigrum",19631313
"4438","ethyl beta-D-thevetopyranosyl-(1-->4)-beta-D-oleandropyranoside","Solanum nigrum",19631313
"4439","nigrumnins I","Solanum nigrum",10923841
"4440","nigrumnins II","Solanum nigrum",10923841
"4441","p-hydroxybenzoic acid","Solanum nigrum",17944186
"4442","pinoresinol-4-O-beta-D-glucopyranoside","Solanum nigrum",17944186
"4443","scopoletin","Solanum nigrum",20845784
"4444","solanigroside A","Solanum nigrum",17885838
"4445","solanigroside B","Solanum nigrum",17885838
"4446","syringaresinol-4-O-beta-D-glucopyranoside","Solanum nigrum",17944186
"4447","tetracosanoic acid","Solanum nigrum",20845784
"4448","alkaloids","Solanum villosum",18387176
"4449","essential oil","Solanum villosum",18387176
"4456","(-)-13,14-dehydrosophoridine","Sophora flavescens",16364643
"4457","(-)-9alpha-hydroxysophocarpine","Sophora flavescens",16364643
"4458","(-)-anagyrine","Sophora flavescens",16364643
"4459","(-)-sophocarpine","Sophora flavescens",16364643
"4460","(+)-12alpha-Hydroxysophocarpine","Sophora flavescens",16364643
"4461","(+)-9alpha-hydroxymatrine","Sophora flavescens",16364643
"4462","(+)-allomatrine","Sophora flavescens",16364643
"4463","(+)-lehmannine","Sophora flavescens",16364643
"4464","(+)-matrine","Sophora flavescens",16364643
"4465","(+)-oxymatrine","Sophora flavescens",16364643
"4466","(+)-oxysophocarpine","Sophora flavescens",16364643
"4467","kuraidin","Sophora flavescens",9868163
"4468","kurarinol","Sophora flavescens",9868163
"4469","kushenol H","Sophora flavescens",9868163
"4470","kushenol K","Sophora flavescens",9868163
"4471","sophoflavescenol","Sophora flavescens",9868163
"4472","trifolirhizin","Sophora flavescens",9868163
"4486","a-humulene","Stachys cretica",19370886
"4487","delta-cadinene","Stachys cretica",19370886
"4488","delta-elemene","Stachys cretica",19370886
"4489","germacrene-D","Stachys cretica",19370886
"4490","trans-beta-caryophyllene","Stachys cretica",19370886
"4491","1, 4-methano-1 H-indene","Stachys lavandulifolia",23593591
"4492","alpha-pinene","Stachys lavandulifolia",23074920
"4493","Beta-Phellandrene","Stachys lavandulifolia",23074920
"4494","delta-cadinene","Stachys lavandulifolia",23593591
"4495","germacrene D","Stachys lavandulifolia",23593591
"4496","germacrene-D","Stachys lavandulifolia",23074920
"4497","myrcene","Stachys lavandulifolia",23593591
"4498","?-pinene","Stachys lavandulifolia",23593591
"4499","?-thujone","Stachys lavandulifolia",23593591
"4500","?-phellandrene","Stachys lavandulifolia",23593591
"4591","11-deoxyswietenialide D","Swietenia macrophylla",19552385
"4592","12alpha-acetoxyswietephragmin C","Swietenia macrophylla",19053509
"4593","12alpha-acetoxyswietephragmin D","Swietenia macrophylla",19053509
"4594","1-O-acetylkhayanolide A","Swietenia macrophylla",21985024
"4595","1-O-Acetylkhayanolide B","Swietenia macrophylla",21985024
"4596","1-O-Deacetylkhayanolide E","Swietenia macrophylla",21985024
"4597","2,11-diacetoxyswietenialide D","Swietenia macrophylla",19552385
"4598","2-acetoxyswietenialide D","Swietenia macrophylla",19552385
"4599","3beta,6-dihydroxydihydrocarapin","Swietenia macrophylla",10579863
"4600","3beta-O-destigloyl-3beta-O-benzoyl-12alpha-acetoxyswietephragmin C","Swietenia macrophylla",19053509
"4601","3beta-O-destigloyl-3beta-O-benzoyl-12alpha-acetoxyswietephragmin D","Swietenia macrophylla",19053509
"4602","3beta-O-destigloyl-3beta-O-benzoyl-6-O-acetylswietephragmin E","Swietenia macrophylla",19053509
"4603","6-O-acetylswietephragmin E","Swietenia macrophylla",19053509
"4604","augustineolide","Swietenia macrophylla",10579863
"4605","catechin","Swietenia macrophylla",19266907
"4606","epicatechin","Swietenia macrophylla",19266907
"4607","epoxyfebrinin B","Swietenia macrophylla",21467674
"4608","Khayalactone","Swietenia macrophylla",21985024
"4609","Khayanolide A","Swietenia macrophylla",21985024
"4610","Khayanolide B","Swietenia macrophylla",21985024
"4611","Khayanolide E","Swietenia macrophylla",21985024
"4612","Khayanone","Swietenia macrophylla",21985024
"4613","methyl-6-?-hydroxy angolensate","Swietenia macrophylla",21985024
"4614","O-acetyl-swietenolide","Swietenia macrophylla",21588997
"4615","swietemacrophyllanin","Swietenia macrophylla",19266907
"4616","Swietenine J","Swietenia macrophylla",21985024
"4617","swietenitin A","Swietenia macrophylla",19552385
"4618","swietenitin B","Swietenia macrophylla",19552385
"4619","swietenitin C","Swietenia macrophylla",19552385
"4620","swietenitin D","Swietenia macrophylla",19552385
"4621","swietenitin E","Swietenia macrophylla",19552385
"4622","swietenitin F","Swietenia macrophylla",19552385
"4623","swietenitin G","Swietenia macrophylla",19552385
"4624","swietenitin H","Swietenia macrophylla",19552385
"4625","swietenitin I","Swietenia macrophylla",19552385
"4626","swietenitin J","Swietenia macrophylla",19552385
"4627","swietenitin K","Swietenia macrophylla",19552385
"4628","swietenitin L","Swietenia macrophylla",19552385
"4629","swietenitin M","Swietenia macrophylla",19552385
"4630","swietenitin M","Swietenia macrophylla",21467674
"4631","swietenitin N","Swietenia macrophylla",21467674
"4632","swietenitin O","Swietenia macrophylla",21467674
"4633","swietenitin P","Swietenia macrophylla",21467674
"4634","swietenitin Q","Swietenia macrophylla",21467674
"4635","swietenitin R","Swietenia macrophylla",21467674
"4636","swietenitin S","Swietenia macrophylla",21467674
"4637","swietenitin T","Swietenia macrophylla",21467674
"4638","swietenitin U","Swietenia macrophylla",21467674
"4639","swietenitin V","Swietenia macrophylla",21467674
"4640","swietenitin W","Swietenia macrophylla",21467674
"4641","swietenitin X","Swietenia macrophylla",21467674
"4642","Swietenolide diacetate","Swietenia macrophylla",21579475
"4666","5,7-dihydroxy-2-methylchromone 8-C-beta-D-glucopyranoside","Syzygium aromaticum",8904847
"4667","apigenin 6-C-[beta-D-xylopyranosyl-(1'''-->2'')-beta-D-galactopyranoside]-7-O-beta-D-(6-O-p-coumarylglucopyranoside)","Syzygium aromaticum",16297892
"4668","apigenin 6-C-[beta-D-xylopyranosyl-(1'''-->2'')-beta-D-galactopyranoside]-7-O-beta-D-glucopyranoside","Syzygium aromaticum",16297892
"4669","biflorin","Syzygium aromaticum",8904847
"4670","ellagic acid","Syzygium aromaticum",8904847
"4671","gallic acid","Syzygium aromaticum",8904847
"4672","kaempferol","Syzygium aromaticum",8904847
"4673","myricetin","Syzygium aromaticum",8904847
"4674","oleanolic acid","Syzygium aromaticum",8904847
"4675","rhamnocitrin","Syzygium aromaticum",8904847
"4682","19(S)-hydroxyibogamine","Tabernaemontana corymbosa",12027738
"4683","19-epi-isovoacristine","Tabernaemontana corymbosa",12027738
"4684","3R/S-ethoxy-19-epi-heyneanine","Tabernaemontana corymbosa",12027738
"4685","3R/S-ethoxyheyneanine","Tabernaemontana corymbosa",12027738
"4686","conodiparine A","Tabernaemontana corymbosa",12542336
"4687","conodiparine B","Tabernaemontana corymbosa",12542336
"4688","conodiparine C","Tabernaemontana corymbosa",12542336
"4689","conodiparine D","Tabernaemontana corymbosa",12542336
"4690","conodiparine E","Tabernaemontana corymbosa",12542336
"4691","conodiparine F","Tabernaemontana corymbosa",12542336
"4692","conodutarine A","Tabernaemontana corymbosa",12542336
"4693","conodutarine B","Tabernaemontana corymbosa",12542336
"4694","cononitarine A","Tabernaemontana corymbosa",12542336
"4695","cononitarine B","Tabernaemontana corymbosa",12542336
"4696","isovoacryptine","Tabernaemontana corymbosa",12027738
"4697","jerantinine A","Tabernaemontana corymbosa",18778099
"4698","jerantinine B","Tabernaemontana corymbosa",18778099
"4699","jerantinine C","Tabernaemontana corymbosa",18778099
"4700","jerantinine D","Tabernaemontana corymbosa",18778099
"4701","jerantinine E","Tabernaemontana corymbosa",18778099
"4702","jerantinine F","Tabernaemontana corymbosa",18778099
"4703","jerantinine G","Tabernaemontana corymbosa",18778099
"4704","jerantinine H","Tabernaemontana corymbosa",19217125
"4705","jerantiphylline A","Tabernaemontana corymbosa",19217125
"4706","jerantiphylline B","Tabernaemontana corymbosa",19217125
"4707","tabernaricatine A","Tabernaemontana divaricata",23944995
"4708","tabernaricatine B","Tabernaemontana divaricata",23944995
"4709","tabernaricatine C","Tabernaemontana divaricata",23944995
"4710","tabernaricatine D","Tabernaemontana divaricata",23944995
"4711","tabernaricatine E","Tabernaemontana divaricata",23944995
"4712","tabernaricatine F","Tabernaemontana divaricata",23944995
"4713","tabernaricatine G","Tabernaemontana divaricata",23944995
"4714","4-allylanisole","Tagetes pusilla",20839636
"4715","trans-anethole","Tagetes pusilla",20839636
"4716","alkaloids","Tamarindus indica",22536985
"4717","1,3-di-O-galloyl-4,6-O-(S)-hexahydroxydiphenoyl-beta-D-glucose","Tamarix nilotica",19695651
"4718","3alpha-(3'',4''-dihydroxy-trans-cinnamoyloxy)-D-friedoolean-14-en-28-oic acid","Tamarix nilotica",19571423
"4719","3-O-trans-caffeoylisomyricadiol","Tamarix nilotica",19957430
"4720","coniferyl alcohol 4-O-sulphate","Tamarix nilotica",19571423
"4721","gemin D","Tamarix nilotica",19695651
"4722","hippomanin A","Tamarix nilotica",19695651
"4723","hirtellin A","Tamarix nilotica",19695651
"4724","kaempferol 4'-methyl ether","Tamarix nilotica",19571423
"4725","methyl ferulate 3-O-sulphate","Tamarix nilotica",19571423
"4726","nilotinin D1","Tamarix nilotica",19695651
"4727","nilotinin D2","Tamarix nilotica",19695651
"4728","nilotinin D3","Tamarix nilotica",19695651
"4729","nilotinin M1","Tamarix nilotica",19695651
"4730","quercetin 3-O-beta-D-glucupyranuronide","Tamarix nilotica",19571423
"4731","remurin A","Tamarix nilotica",19695651
"4732","remurin B","Tamarix nilotica",19695651
"4733","tamarixetin","Tamarix nilotica",19571423
"4738","1,8-cineole","Tanacetum santolinoides",12240986
"4739","cis-chrysanthenyl acetate","Tanacetum santolinoides",12240986
"4740","palmitic acid","Tanacetum santolinoides",12240986
"4741","palmitic acid methyl ester","Tanacetum santolinoides",12240986
"4742","sitosterol","Tanacetum santolinoides",12240986
"4743","stigmasterol","Tanacetum santolinoides",12240986
"4744","thymol","Tanacetum santolinoides",12240986
"4745","trans-chrysanthenyl acetate","Tanacetum santolinoides",12240986
"4746","trans-thujone","Tanacetum santolinoides",12240986
"4747","umbellulone","Tanacetum santolinoides",12240986
"4810","alkaloids","Terminalia chebula",22536985
"4894","Diterpenes","Trichilia heudelotti",10727815
"4927","3-O-fucopyranosylsaikogenin F","Verbascum thapsus",21656353
"4928","luteolin","Verbascum thapsus",21656353
"4929","verbathasin A","Verbascum thapsus",21656353
"4991","16-alpha-hydroxykauranoic acid","Xylopia aromatica",11163939
"4992","alpha-phellandrene","Xylopia aromatica",14753677
"4993","alpha-pinene","Xylopia aromatica",14753677
"4994","annomontacin","Xylopia aromatica",8021648
"4995","annonacin","Xylopia aromatica",8021648
"4996","beta-myrcene","Xylopia aromatica",14753677
"4997","beta-myrcene","Xylopia aromatica",14753677
"4998","beta-phellandrene","Xylopia aromatica",14753677
"4999","gigantetrocin A","Xylopia aromatica",8021648
"5000","gigantetronenin","Xylopia aromatica",8021648
"5001","p-cymene","Xylopia aromatica",14753677
"5002","p-mentha-1(7),8-diene","Xylopia aromatica",14753677
"5003","Venezenin","Xylopia aromatica",7623031
"5004","xylomatenin","Xylopia aromatica",7714532
"5005","xylomaticin","Xylopia aromatica",8021648
"5006","xylopiacin","Xylopia aromatica",8021648
"5007","xylopianin","Xylopia aromatica",8021648
"5008","Xylopien","Xylopia aromatica",7714532
"5009","(E)-beta-ocimene","Xylopia laevigata",23678822
"5010","(E)-caryophyllene","Xylopia laevigata",23307235
"5011","beta-elemene","Xylopia laevigata",23678822
"5012","bicyclogermacrene","Xylopia laevigata",23307235
"5013","delta-cadinene","Xylopia laevigata",23678822
"5014","delta-selinene","Xylopia laevigata",23678822
"5015","germacrene B","Xylopia laevigata",23307235
"5016","germacrene D","Xylopia laevigata",23307235
"5017","?-copaene","Xylopia laevigata",23307235
"5018","?-muurolene","Xylopia laevigata",23307235
"5019","?-cadinene ","Xylopia laevigata",23307235
"5041","5-methoxycanthin-6-one","Zanthoxylum chiloperone var. angustifolium",12820240
"5042","canthin-6-one","Zanthoxylum chiloperone var. angustifolium",12820240
